row index,Country,Project,Status,Location Lat,Location Long,Mine Type,Company,Economic Mineralogy,Principal Process,Column 9,Mt,Column 11,Column 12
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Indicated,92.1,g/t Pd,1.8582405537459281
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Indicated,92.1,g/t Rh,0.32125514657980453
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Indicated,92.1,%Cr,10.711509258385618
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Inferred,92.4,%Cu,0.04431818181818181
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Inferred,92.4,g/t Au,0.22924519480519479
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Inferred,92.4,%Ni,0.17883116883116879
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Inferred,92.4,g/t Pt,3.941743766233766
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Inferred,92.4,g/t Pd,1.878537012987013
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Inferred,92.4,g/t Rh,0.3247640259740259
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Inferred,92.4,%Cr,11.12553229682497
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Proven,40.4,%Cu,0.010173267326732674
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Proven,40.4,g/t Au,0.032979133663366335
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Proven,40.4,%Ni,0.12029702970297029
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Proven,40.4,g/t Pt,2.7315577475247528
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Proven,40.4,g/t Pd,1.3586158415841585
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Proven,40.4,g/t Rh,0.5295099504950495
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Proven,40.4,%Cr,21.772141455979018
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Probable,0.1,%Cu,0.01
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Probable,0.1,g/t Au,0.03122
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Probable,0.1,%Ni,0.12
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Probable,0.1,g/t Pt,2.61802
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Probable,0.1,g/t Pd,1.3023199999999997
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Probable,0.1,g/t Rh,0.50844
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Probable,0.1,%Cr,21.82588501542733
