deposit_no,deposit_name,country,longdd,latdd,tonnage,tonnage_unit,category,commodity,grade,grade_unit,cutoff_grade,cutoff_grade_unit,year
32,Old Bradlaugh,Australia,145.406111111111,-17.3886111111111,,,,Sn,,,,,
33,Old Monarch,Australia,145.400277777778,-17.3891666666667,,,,Sn,,,,,
34,Wild Irishman,Australia,145.399166666667,-17.3844444444444,,,,Sn,,,,,
36,Herberton Deep Lead,Australia,145.39,-17.4286111111111,,,,Sn,,,,,
37,Governor Norman,Australia,145.2225,-17.4313888888889,,,,Sn,,,,,
38,Great Southern,Australia,145.201111111111,-17.4480555555556,,,,Sn,,,,,
39,Vulcan,Australia,145.195277777778,-17.4283333333333,,,,Sn,,,,,
41,Gillian,Australia,145.05,-17.7166666666667,2.4,million metric tons,,Sn,0.8,percent,,,1989
42,Pinnacles,Australia,145.175,-17.6666666666667,3.0,million metric tons,,Sn,0.3,percent,,,1986
43,Sailor,Australia,145.293888888889,-17.5577777777778,12.0,million metric tons,,Sn,0.1,percent,,,1986
44,Smiths Creek (lode),Australia,145.025833333333,-17.6263888888889,250000.0,metric tons,,Sn,1.5,percent,,,1989
46,Battle Creek,Australia,145.188611111111,-17.6719444444444,,,,Sn,,,,,
47,Nettle Creek,Australia,145.233888888889,-17.6516666666667,,,,Sn,,,,,
48,Return Creek,Australia,145.113888888889,-17.6586111111111,,,,Sn,,,,,
49,Smiths Creek (placer),Australia,145.033333333333,-17.6333333333333,,,,Sn,,,,,
51,Oonah,Australia,145.315,-41.8761111111111,,,,Ag,,,,,
51,Oonah,Australia,145.315,-41.8761111111111,,,,Pb,,,,,
51,Oonah,Australia,145.315,-41.8761111111111,,,,Sn,,,,,
51,Oonah,Australia,145.315,-41.8761111111111,,,,Cu,,,,,
52,Queen Hill,Australia,145.3,-41.9,3.6,million metric tons,,Ag,12.0,grams/metric ton,,,1989
52,Queen Hill,Australia,145.3,-41.9,3.6,million metric tons,,Sn,1.2,percent,,,1989
52,Queen Hill,Australia,145.3,-41.9,7.3,million metric tons,,Sn,0.7,percent,0.1,percent,1989
54,Aberfoyle,Australia,147.750555555556,-41.6572222222222,,,,Sn,,,,,
54,Aberfoyle,Australia,147.750555555556,-41.6572222222222,,,,W,,,,,
55,Adventure,Australia,145.146666666667,-17.4441666666667,,,,Sn,,,,,
56,Anchor,Australia,148.011666666667,-41.2291666666667,380000.0,metric tons,Inferred,Sn,0.48,percent,,,1989
56,Anchor,Australia,148.011666666667,-41.2291666666667,380000.0,metric tons,Inferred,Sn,0.48,percent,,,1989
56,Anchor,Australia,148.011666666667,-41.2291666666667,472000.0,metric tons,Indicated,Sn,0.67,percent,,,1989
56,Anchor,Australia,148.011666666667,-41.2291666666667,472000.0,metric tons,Indicated,Sn,0.67,percent,,,1989
56,Anchor,Australia,148.011666666667,-41.2291666666667,380000.0,metric tons,Inferred,Sn,0.48,percent,,,1989
56,Anchor,Australia,148.011666666667,-41.2291666666667,380000.0,metric tons,Inferred,Sn,0.48,percent,,,1989
56,Anchor,Australia,148.011666666667,-41.2291666666667,472000.0,metric tons,Indicated,Sn,0.67,percent,,,1989
56,Anchor,Australia,148.011666666667,-41.2291666666667,472000.0,metric tons,Indicated,Sn,0.67,percent,,,1989
57,Annan River,Australia,145.25,-15.7833333333333,,,,Sn,,,,,
58,Arbouin,Australia,145.263055555556,-17.3263888888889,,,,Sn,,,,,
59,Ardlethan,Australia,146.85,-34.32,3.025,million metric tons,,Sn,0.42,percent,,,1986
59,Ardlethan,Australia,146.85,-34.32,3.025,million metric tons,,Sn,0.42,percent,,,1986
59,Ardlethan,Australia,146.85,-34.32,3.025,million metric tons,,Sn,0.42,percent,,,1986
59,Ardlethan,Australia,146.85,-34.32,3.025,million metric tons,,Sn,0.42,percent,,,1986
60,Attunga,Australia,150.936666666667,-30.8941666666667,265000.0,metric tons,,Mo,0.14,percent,,,1990
60,Attunga,Australia,150.936666666667,-30.8941666666667,265000.0,metric tons,,W,0.82,percent,,,1990
61,Baal Gammon,Australia,145.325833333333,-17.3819444444444,3.0,million metric tons,Indicated,Cu,1.2,percent,,,1988
61,Baal Gammon,Australia,145.325833333333,-17.3819444444444,3.0,million metric tons,Indicated,Ag,46.0,grams/metric ton,,,1988
61,Baal Gammon,Australia,145.325833333333,-17.3819444444444,3.0,million metric tons,Indicated,Sn,0.3,percent,,,1988
61,Baal Gammon,Australia,145.325833333333,-17.3819444444444,3.0,million metric tons,Indicated,In,50.0,grams/metric ton,,,1988
62,Bamford Hill,Australia,144.925277777778,-17.3105555555556,,,,W,,,,,
62,Bamford Hill,Australia,144.925277777778,-17.3105555555556,,,,Mo,,,,,
62,Bamford Hill,Australia,144.925277777778,-17.3105555555556,,,,Bi,,,,,
63,Beechworth,Australia,146.7,-36.3833333333333,,,,Au,,,,,
63,Beechworth,Australia,146.7,-36.3833333333333,,,,Sn,,,,,
64,Big Bygoo,Australia,145.833333333333,-34.2833333333333,,,,Sn,,,,,
65,Bynoe Area; Finniss River,Australia,130.766666666667,-12.7333333333333,,,,Sn,,,,,
65,Bynoe Area; Finniss River,Australia,130.766666666667,-12.7333333333333,,,,Ta,,,,,
66,Cannibal Creek,Australia,144.412777777778,-16.2066666666667,,,,Sn,,,,,
67,China Camp,Australia,145.3,-16.0333333333333,,,,Sn,,,,,
68,Cleveland,Australia,145.385,-41.48,3.0,million metric tons,,WO3,0.28,percent,,,1990
68,Cleveland,Australia,145.385,-41.48,3.0,million metric tons,,Sn,0.05,percent,,,1990
68,Cleveland,Australia,145.385,-41.48,3.0,million metric tons,,MoS2,0.02,percent,,,1990
69,Collingwood,Australia,145.266666666667,-15.7666666666667,4.0,million metric tons,,Sn,0.7,percent,,,1990
70,Conrad,Australia,151.023333333333,-29.9563888888889,,,,Ag,,,,,
70,Conrad,Australia,151.023333333333,-29.9563888888889,,,,Pb,,,,,
70,Conrad,Australia,151.023333333333,-29.9563888888889,,,,Zn,,,,,
70,Conrad,Australia,151.023333333333,-29.9563888888889,,,,Cu,,,,,
70,Conrad,Australia,151.023333333333,-29.9563888888889,,,,Sn,,,,,
71,Doradilla; Midway,Australia,146.313888888889,-30.3516666666667,500000.0,metric tons,,Sn,0.85,percent,,,1990
71,Doradilla; Midway,Australia,146.313888888889,-30.3516666666667,3.4,million metric tons,Indicated,Sn,0.58,percent,,,1989
72,Emmaville,Australia,151.598055555556,-29.4397222222222,3000.0,metric tons,,Sn,100.0,percent,,,
73,Ettlewood; Lakes Nob,Australia,141.266666666667,-31.7833333333333,,,,W,,,,,
74,Gibsonvale,Australia,146.05,-33.6666666666667,2572.0,metric tons,,Sn,70.0,percent,,,1990
75,Gilmore,Australia,144.926666666667,-17.5363888888889,,,,Sn,,,,,
76,Glen Eden,Australia,151.866666666667,-29.6208333333333,30.0,million metric tons,,WO3,0.08,percent,,,1998
