Country,Project,Lat,Long,Company,Category,Mt ore,%Ni
Australia,Saints,,,Minotaur Exploration,Indicated,0,
Australia,Saints,,,Minotaur Exploration,Inferred,1.05,2.0
Australia,Munda,,,Estrella Resources,Measured,0,
Australia,Munda,,,Estrella Resources,Indicated,0,
Australia,Munda,,,Estrella Resources,Inferred,0.24,2.36
Australia,Miriam,,,Focus Minerals,Measured,0,
Australia,Miriam,,,Focus Minerals,Indicated,0,
Australia,Miriam,,,Focus Minerals,Inferred,0.227,1.7
Australia,Snake Hill-Cullens,,,Mt Ida Gold,Measured,0,
Australia,Snake Hill-Cullens,,,Mt Ida Gold,Indicated,0,
Australia,Snake Hill-Cullens,,,Mt Ida Gold,Inferred,0.35,0.9
Australia,Kambalda-Spargoville,,,Estrella Resources,Measured,0,
Australia,Kambalda-Spargoville,,,Estrella Resources,Indicated,0.129,2.4
Australia,Kambalda-Spargoville,,,Estrella Resources,Inferred,0.217,2.4
Australia,Mount Jewell-GSP,,,Capital Mining,Measured,0,
Australia,Mount Jewell-GSP,,,Capital Mining,Indicated,0,
Australia,Mount Jewell-GSP,,,Capital Mining,Inferred,0.086,2
Australia,RAV 1-4-5-8,,,Australasian Mining,Measured,0,
Australia,RAV 1-4-5-8,,,Australasian Mining,Indicated,0,
Australia,RAV 1-4-5-8,,,Australasian Mining,Inferred,1.71,1.0
Australia,Fisher East,,,Rox Resources,Measured,0,
Australia,Fisher East,,,Rox Resources,Indicated,3.74,1.9
Australia,Fisher East,,,Rox Resources,Inferred,0.42,1.5
Australia,Collurabbie-Olympia,,,Rox Resources,Measured,0,
Australia,Collurabbie-Olympia,,,Rox Resources,Indicated,0,
Australia,Collurabbie-Olympia,,,Rox Resources,Inferred,0.573,1.63
Australia,Kambalda-Mount Edwards/Armstrong Group,,,Neometals,Measured,0,
Australia,Kambalda-Mount Edwards/Armstrong Group,,,Neometals,Indicated,2.58,2.0
Australia,Kambalda-Mount Edwards/Armstrong Group,,,Neometals,Inferred,4.805,1.5
